Assessment_Unit_Name,SEZ_ID,SEZ_Type
Angora Creek - tributary,519,Riverine (Perennial) + Forested
Angora Creek - upper,520,Riverine (Perennial) + Forested
Angora meadows - 1,87,Channeled Meadow
Angora meadows - 2,90,Channeled Meadow
Angora meadows - 3,91,Channeled Meadow
Angora meadows - 4,143,Non-Channeled Meadow
Angora meadows - 5,144,Non-Channeled Meadow
Angora meadows - 6,142,Channeled Meadow
Angora meadows - 7,89,Non-Channeled Meadow
Angora meadows - 8,88,Channeled Meadow
Angora meadows - 9,92,Non-Channeled Meadow
Angora meadows tributary - 1,217,Non-Channeled Meadow
Angora meadows tributary - 2,99,Non-Channeled Meadow
Angora meadows tributary - 3,97,Non-Channeled Meadow
Angora meadows tributary - 4,94,Non-Channeled Meadow
Angora meadows tributary - 5,214,Non-Channeled Meadow
Angora meadows tributary - 6,146,Non-Channeled Meadow
Angora meadows tributary - 7,93,Non-Channeled Meadow
Angora meadows tributary - 8,95,Non-Channeled Meadow
Angora meadows tributary - 9,96,Non-Channeled Meadow
Angora tributary,446,Forested
Antone meadows,187,Channeled Meadow
Baldwin marsh - 1,160,Channeled Meadow
Benwood meadows - 1,129,Channeled Meadow
Benwood meadows - 2,131,Channeled Meadow
Big Meadow - 1,47,Channeled Meadow
Big Meadow - 2,48,Non-Channeled Meadow
Big Meadow - 3,38,Non-Channeled Meadow
Big Meadow - 4,39,Channeled Meadow
Big Meadow - 5,37,Non-Channeled Meadow
Big Meadow - 6,40,Non-Channeled Meadow
Big Meadow Creek - lower,521,Riverine (Perennial) + Forested
Big Meadow Creek - upper,491,Riverine (Perennial) + Forested
Big Meadow Creek - upper 2,522,Riverine (Perennial) + Forested
Big meadow - 7,126,Non-Channeled Meadow
Bijou Park Creek meadows - 1,219,Non-Channeled Meadow
Bijou Park Creek meadows - 2,166,Non-Channeled Meadow
Bijou Park Creek meadows - 3,167,Non-Channeled Meadow
Bijou Park Creek meadows - 4,163,Non-Channeled Meadow
Bijou Park Creek meadows - 5,489,Non-Channeled Meadow
Bijou Park Creek meadows - 6,488,Non-Channeled Meadow
Bijou meadows - 1,115,Non-Channeled Meadow
Bijou meadows - 2,116,Non-Channeled Meadow
Bijou meadows - 3,164,Non-Channeled Meadow
Bijou meadows - private,114,Non-Channeled Meadow
Bijou meadows - tributary 1,226,Non-Channeled Meadow
Blackwood Creek - Upper 1,599,Riverine (Perennial) + Forested
Blackwood Creek - Upper 2,526,Riverine (Perennial) + Forested
Blackwood Creek - lower 1,523,Riverine (Perennial) + Forested
Blackwood Creek - lower 2,596,Riverine (Perennial) + Forested
Blackwood Creek - middle 1,597,Riverine (Perennial) + Forested
Blackwood Creek - middle 2,524,Riverine (Perennial) + Forested
Blackwood Creek - middle 3,598,Riverine (Perennial) + Forested
Blackwood Creek - middle 4,525,Riverine (Perennial) + Forested
Blackwood Creek - upper 3,527,Riverine (Perennial) + Forested
Blackwood meadows - 1,66,Non-Channeled Meadow
Blackwood meadows - 3,65,Non-Channeled Meadow
Buck Lake meadows,176,Channeled Meadow
Buddhas meadow,168,Non-Channeled Meadow
Burke Creek - middle,528,Riverine (Perennial) + Forested
Burke Creek - upper,503,Riverine (Perennial) + Forested
Burke Creek meadows - 1,171,Channeled Meadow
Burke Creek meadows - 2,3,Non-Channeled Meadow
Burke Creek tributary,461,Forested
Burton Creek - lower,633,Riverine (Perennial) + Forested
Burton Creek - upper,529,Riverine (Perennial) + Forested
Carnelian Canyon Creek - lower,620,Riverine (Perennial) + Forested
Carnelian Canyon Creek - upper,621,Riverine (Perennial) + Forested
Cascade Creek - lower,501,Riverine (Perennial) + Forested
Cascade Creek - upper,498,Riverine (Perennial) + Forested
Casino meadows,170,Non-Channeled Meadow
Christmas Valley meadows - 1,136,Channeled Meadow
Christmas Valley meadows - 2,134,Channeled Meadow
Christmas Valley meadows - 3,130,Channeled Meadow
Christmas Valley meadows - 4,225,Non-Channeled Meadow
Cold Creek - Highland Woods,110,Channeled Meadow
