StationCode,STREAM_NAME,Reference/Non-Reference,SAMPLEDATE,REPLICATE,COUNTY,LATITUDE,LONGITUDE,URL,Regional_Board,CSCI
634001CLD,Cold Creek,,2019,1,El Dorado,38.89213923,-119.9018906,,Lahontan,1.20937534
634001GNL,General Creek,,2019,1,El Dorado,39.05301279,-120.1155272,,Lahontan,1.282410929
634001HVL,Heavenly Valley Creek,,2019,1,El Dorado,38.9208917,-119.9703888,,Lahontan,0.565937717
634001LKF,Lake Forest Creek,,2019,1,Placer,39.18346983,-120.1193736,,Lahontan,0.327012221
634001MEI,Upper Truckee River,,2019,1,El Dorado,38.73337433,-120.0054785,,Lahontan,0.877764463
634001SAX,Saxon Creek,,2019,1,El Dorado,38.88091321,-119.9824465,,Lahontan,1.038985727
634001TAY,Taylor Creek,,2019,1,El Dorado,38.93462498,-120.0567743,,Lahontan,0.68066119
634001TRT,Trout Creek,,2019,1,El Dorado,38.89999947,-119.9678686,,Lahontan,1.11825739
634002SAX,Saxon Creek,,2019,1,El Dorado,38.87583315,-119.9839702,,Lahontan,1.178187752
634002TRT,Trout Creek,,2019,1,El Dorado,38.89404055,-119.9679338,,Lahontan,1.142959739
634BLW001,Blackwood Creek,,2019,1,Placer,39.1074114,-120.1622238,,Lahontan,0.934645057
634MCK001,McKinney Creek,,2016,1,Placer,39.07195,-120.141336,,Lahontan,1.18670054
634MCK001,McKinney Creek,,2020,1,Placer,39.071666,-120.141194,,Lahontan,1.306365648
634OFSSAX,Saxon Creek,,2013,1,El Dorado,38.87059,-119.98144,,Lahontan,1.034674469
634OFSSAX,Saxon Creek,,2014,1,El Dorado,38.87059,-119.98144,,Lahontan,1.159507167
634OFSSAX,Saxon Creek,,2016,1,El Dorado,38.87059,-119.98144,,Lahontan,1.174430479
634REFBMW,Big Meadow Creek,,2010,1,El Dorado,38.77957,-119.99815,,Lahontan,1.03685
634REFBMW,Big Meadow Creek,,2011,1,El Dorado,38.77957,-119.99815,,Lahontan,1.00643
634REFBMW,Big Meadow Creek,,2012,1,El Dorado,38.77957,-119.99815,,Lahontan,0.970988
634REFBMW,Big Meadow Creek,,2013,1,El Dorado,38.77957,-119.99815,,Lahontan,1.11396
634REFBMW,Big Meadow Creek,,2014,1,El Dorado,38.77957,-119.99815,,Lahontan,0.930692
634REFBMW,Big Meadow Creek,,2015,1,El Dorado,38.77957,-119.99815,,Lahontan,1.030706839
634REFBMW,Big Meadow Creek,,2017,1,El Dorado,38.77962,-119.99809,,Lahontan,1.109757678
634REFGBK,Glenbrook Creek,,2009,1,Douglas,39.07462,-119.89968,,Lahontan,1.02633
634REFGBK,Glenbrook Creek,,2010,1,Douglas,39.07462,-119.89968,,Lahontan,0.996487
