Assessment_Unit_Name,SEZ_ID,SEZ_Type
Saxon Creek meadows - below Fountain Place,1,Channeled Meadow
Saxon Creek meadows - above Fountain Place 1,2,Channeled Meadow
Burke Creek meadows - 2,3,Non-Channeled Meadow
Washoe State Parks meadow - 1,4,Non-Channeled Meadow
Spooner Meadows - 4,5,Non-Channeled Meadow
Slaughterhouse Meadows - 1,6,Non-Channeled Meadow
Upper Truckee River - Tahoe Paradise,7,Channeled Meadow
Hell Hole Meadows - 2,8,Channeled Meadow
Trout Creek headwaters meadows - 2,9,Channeled Meadow
small meadow 2,10,Non-Channeled Meadow
small meadow 1,11,Channeled Meadow
North Logan House meadows,12,Non-Channeled Meadow
Logan House meadow,13,Non-Channeled Meadow
small meadow 59,14,Non-Channeled Meadow
Third Creek meadows - 8,15,Channeled Meadow
Third Creek meadows - 7,16,Channeled Meadow
small meadow 6,17,Non-Channeled Meadow
small meadow 15,18,Channeled Meadow
small meadow 14,19,Channeled Meadow
small meadow 13,20,Channeled Meadow
small meadow 16,21,Channeled Meadow
small meadow 54,22,Non-Channeled Meadow
small meadow 50,23,Channeled Meadow
Freel Meadows - 2,24,Non-Channeled Meadow
Freel Meadows - 1,25,Non-Channeled Meadow
Quail Creek meadow,26,Non-Channeled Meadow
small meadow 7,27,Channeled Meadow
small meadow 17,28,Channeled Meadow
small meadow 5,29,Non-Channeled Meadow
Deer Creek meadows,30,Non-Channeled Meadow
small meadow 92,31,Channeled Meadow
Marlette Lake meadows,32,Channeled Meadow
small meadow 93,33,Non-Channeled Meadow
Third Creek meadows - 3,34,Channeled Meadow
Griff Creek meadows,35,Channeled Meadow
Meeks Bay meadows - 3,36,Channeled Meadow
Big Meadow - 5,37,Non-Channeled Meadow
Big Meadow - 3,38,Non-Channeled Meadow
Big Meadow - 4,39,Channeled Meadow
Big Meadow - 6,40,Non-Channeled Meadow
small meadow 52,41,Channeled Meadow
small meadow 51,42,Channeled Meadow
small meadow 95,43,Channeled Meadow
small meadow 96,44,Non-Channeled Meadow
Star Lake meadows,45,Channeled Meadow
small meadow 56,46,Non-Channeled Meadow
Big Meadow - 1,47,Channeled Meadow
Big Meadow - 2,48,Non-Channeled Meadow
small meadow 35,49,Non-Channeled Meadow
Haypress Meadows,50,Non-Channeled Meadow
small meadow 32,51,Non-Channeled Meadow
small meadow 36,52,Non-Channeled Meadow
small meadow 22,53,Non-Channeled Meadow
small meadow 23,54,Non-Channeled Meadow
small meadow 25,55,Channeled Meadow
small meadow 24,56,Non-Channeled Meadow
small meadow 26,57,Non-Channeled Meadow
small meadow 27,58,Non-Channeled Meadow
small meadow 28,59,Channeled Meadow
Rubicon Meadows,60,Channeled Meadow
General Creek meadows,61,Non-Channeled Meadow
small meadow 98,62,Non-Channeled Meadow
small meadow 19,63,Non-Channeled Meadow
small meadow 10,64,Non-Channeled Meadow
Blackwood meadows - 3,65,Non-Channeled Meadow
Blackwood meadows - 1,66,Non-Channeled Meadow
small meadow 21,67,Non-Channeled Meadow
small meadow 9,68,Channeled Meadow
small meadow 8,69,Non-Channeled Meadow
small meadow 3,70,Non-Channeled Meadow
McFual meadow,71,Channeled Meadow
Lakeshore meadows,72,Non-Channeled Meadow
small meadow 57,73,Non-Channeled Meadow
small meadow 40,74,Non-Channeled Meadow
small meadow 99,75,Non-Channeled Meadow
Fallen Leaf meadows - 4,76,Non-Channeled Meadow
small meadow 100,77,Non-Channeled Meadow
UTR Marsh - UTR side,78,Channeled Meadow
