Assessment_Unit_Name,SEZ_ID,SEZ_Type
UTR - upper,236,Riverine (Perennial)
Big Meadow Creek - upper,237,Riverine (Perennial)
UTR - middle,238,Riverine (Perennial)
UTR - Christmas Valley 3,239,Riverine (Perennial)
Echo Creek - upper,240,Riverine (Perennial)
Saxon Creek - headwaters,241,Riverine (Perennial)
Trout Creek - upper,242,Riverine (Perennial)
Eagle Creek,243,Riverine (Perennial)
Cascade Creek - upper,244,Riverine (Perennial)
Heavenly Valley Creek - upper,245,Riverine (Perennial)
Tallac Creek - tributary,246,Riverine (Perennial)
Cascade Creek - lower,247,Riverine (Perennial)
Meeks Creek - upper,248,Riverine (Perennial)
Burke Creek - upper,249,Riverine (Perennial)
Lonely Gulch Creek - upper,250,Riverine (Perennial)
McKinney Creek - upper,251,Riverine (Perennial)
General Creek - middle,252,Riverine (Perennial)
Logan House Creek - upper,253,Riverine (Perennial)
Homewood Canyon Creek - upper,254,Riverine (Perennial)
North Logan House Creek,255,Riverine (Perennial)
Glenbrook Creek - middle,256,Riverine (Perennial)
Ward Creek - upper,257,Riverine (Perennial)
Dollar Creek - upper,258,Riverine (Perennial)
Watson Creek,259,Riverine (Perennial)
Griff Creek - lower,260,Riverine (Perennial)
Mill Creek - upper,261,Riverine (Perennial)
First Creek - upper,262,Riverine (Perennial)
Second Creek - upper,263,Riverine (Perennial)
Woods Creek - upper,264,Riverine (Perennial)
Angora Creek - tributary,265,Riverine (Perennial)
Angora Creek - upper,266,Riverine (Perennial)
Big Meadow Creek - lower,267,Riverine (Perennial)
Big Meadow Creek - upper 2,268,Riverine (Perennial)
Blackwood Creek - lower 1,269,Riverine (Perennial)
Blackwood Creek - middle 2,270,Riverine (Perennial)
Blackwood Creek - middle 4,271,Riverine (Perennial)
Blackwood Creek - Upper 2,272,Riverine (Perennial)
Blackwood Creek - upper 3,273,Riverine (Perennial)
Burke Creek - middle,274,Riverine (Perennial)
Burton Creek - upper,275,Riverine (Perennial)
Cold Creek - middle,276,Riverine (Perennial)
Cold Creek - tributary 3,277,Riverine (Perennial)
Cold Creek - tributary 2,278,Riverine (Perennial)
Cold Creek - upper,279,Riverine (Perennial)
Deer Creek - headwaters,280,Riverine (Perennial)
Deer Creek - upper,281,Riverine (Perennial)
Deer Creek - lower,282,Riverine (Perennial)
Deer Creek - middle,283,Riverine (Perennial)
Deer Creek - middle 2,284,Riverine (Perennial)
Dollar Creek - lower,285,Riverine (Perennial)
Echo Creek - below lake,286,Riverine (Perennial)
Edgewood Creek - middle,287,Riverine (Perennial)
First Creek - lower,288,Riverine (Perennial)
General Creek - lower,289,Riverine (Perennial)
General Creek - upper,290,Riverine (Perennial)
Glen Alpine Creek - lower,291,Riverine (Perennial)
Glenbrook Creek - upper,292,Riverine (Perennial)
Griff Creek - tributary,293,Riverine (Perennial)
Griff Creek - upper,294,Riverine (Perennial)
Heavenly Valley Creek - middle,295,Riverine (Perennial)
Hidden Valley Creek - lower,296,Riverine (Perennial)
Hidden Valley Creek - upper,297,Riverine (Perennial)
Incline Creek - lower,298,Riverine (Perennial)
Incline Creek - middle 1,299,Riverine (Perennial)
Incline Creek - middle 2,300,Riverine (Perennial)
Incline Creek - ski run,301,Riverine (Perennial)
Incline Creek - upper,302,Riverine (Perennial)
Logan House Creek - lower,303,Riverine (Perennial)
Lonely Gulch Creek - lower,304,Riverine (Perennial)
