SEZ_ID,AOP_BarriersPerMile,AOP_DataSource,AOP_NumberofBarriers,AOP_Rating,AOP_Score,AOP_StreamMiles,Acres,Assessment_Unit_Name,Bank_Stability_Data_Source,Bank_Stability_Percent_Unstable,Bank_Stability_Rating,Bank_Stability_Score,Biotic_Integrity_CSCI,Biotic_Integrity_Data_Source,Biotic_Integrity_Rating,Biotic_Integrity_Score,Comments,ConiferEncroachment_Comments,Conifer_Encroachment_Data_Sourc,Conifer_Encroachment_Rating,Conifer_Encroachment_Score,Conifer_Percent_Encroached,Ditches_Data_Source,Ditches_Length,Ditches_Meadow_Length,Ditches_Percent,Ditches_Rating,Ditches_Score,Feature_Type,Habitat_Frag_Data_Source,Habitat_Frag_Impervious_Acres,Habitat_Frag_Percent_Impervious,Habitat_Frag_Rating,Habitat_Frag_Score,Headcuts_Data_Source,Headcuts_Rating,Headcuts_Score,Incision_Data_Source,Incision_Rating,Incision_Ratio,Incision_Score,Invasive_Percent_Cover,Invasives_Data_Source,Invasives_Number_of_Invasives,Invasives_Plant_Types,Invasives_Rating,Invasives_Scores,NDVI_ID,Number_of_Headcuts,Ownership_Primary,Ownership_Secondary,Ownership_Secondary_2,Ownership_Secondary_3,SEZ_Type,Threshold_Year,VegetationVigor_DataSource,VegetationVigor_Rating,VegetationVigor_Raw,VegetationVigor_Score
1,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,16.6617969,Saxon Creek meadows - below Fountain Place,"TRPA, 2022.0",26.45462068,C,6.0,1.03,"TRPA, 634001SAX, 2019",A,12.0,Moderately incised but the channel is mostly stable. Heavy conifer encroachment with little open meadow area left compared to 1940 aerial imagery. Heavy conifer encroachment makes NDVI measurements impossible.,very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,96.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"CRAM, 2018",C,2.02,6.0,0,"TRPA, 2022",0.0,None,A,12.0,N/A,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,NA,,
1,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,16.6617969,Saxon Creek meadows - below Fountain Place,"TRPA, 2022.0",26.45462068,C,6.0,1.03,"TRPA, 634001SAX, 2019",A,12.0,Moderately incised but the channel is mostly stable. Heavy conifer encroachment with little open meadow area left compared to 1940 aerial imagery. Heavy conifer encroachment makes NDVI measurements impossible.,very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,96.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"CRAM, 2018",C,2.02,6.0,0,"TRPA, 2022",0.0,None,A,12.0,,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,,,
1,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,16.6617969,Saxon Creek meadows - below Fountain Place,"TRPA, 2022.0",26.45462068,C,6.0,1.03,"TRPA, 634001SAX, 2019",A,12.0,Moderately incised but the channel is mostly stable. Heavy conifer encroachment with little open meadow area left compared to 1940 aerial imagery. Heavy conifer encroachment makes NDVI measurements impossible.,very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,96.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"CRAM, 2018",C,2.02,6.0,0,"TRPA, 2022",0.0,None,A,12.0,N/A,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,NA,,
1,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,16.6617969,Saxon Creek meadows - below Fountain Place,"TRPA, 2022.0",26.45462068,C,6.0,1.03,"TRPA, 634001SAX, 2019",A,12.0,Moderately incised but the channel is mostly stable. Heavy conifer encroachment with little open meadow area left compared to 1940 aerial imagery. Heavy conifer encroachment makes NDVI measurements impossible.,very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,96.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"CRAM, 2018",C,2.02,6.0,0,"TRPA, 2022",0.0,None,A,12.0,,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,,,
2,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,12.80564724,Saxon Creek meadows - above Fountain Place 1,"TRPA, 2022.0",16.58285644,B,9.0,1.17,"TRPA, 634002SAX, 2019",A,12.0,"Very incised with some channel instability. Meadow vegetation such as grasses, sedges, and rushes are mostly absent from floodplain. Heavy conifer encorachment with no open meadow area compared to 1940 aerial imagery.  Heavy conifer encroachment makes NDVI measurements impossible.",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,99.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"TRPA, 2022",D,2.10766667,3.0,0,"USFS, 2023",1.0,Bull thistle,B,9.0,N/A,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,NA,,
2,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,12.80564724,Saxon Creek meadows - above Fountain Place 1,"TRPA, 2022.0",16.58285644,B,9.0,1.17,"TRPA, 634002SAX, 2019",A,12.0,"Very incised with some channel instability. Meadow vegetation such as grasses, sedges, and rushes are mostly absent from floodplain. Heavy conifer encorachment with no open meadow area compared to 1940 aerial imagery.  Heavy conifer encroachment makes NDVI measurements impossible.",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,99.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"TRPA, 2022",D,2.10766667,3.0,0,"USFS, 2023",1.0,Bull thistle,B,9.0,,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,,,
2,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,12.80564724,Saxon Creek meadows - above Fountain Place 1,"TRPA, 2022.0",16.58285644,B,9.0,1.17,"TRPA, 634002SAX, 2019",A,12.0,"Moderately impaired meadow. Very incised with some channel instability. Meadow vegetation such as grasses, sedges, and rushes are mostly absent from floodplain.   Heavy conifer encroachment makes NDVI measurements difficult. Small infestations of invasive species.",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,99.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"TRPA, 2022",D,2.10766667,3.0,0,"USFS, 2023",1.0,Bull thistle,B,9.0,N/A,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,NA,,
2,0.0,"USFS / TRPA 2009, 2019",0.0,A,12.0,,12.80564724,Saxon Creek meadows - above Fountain Place 1,"TRPA, 2022.0",16.58285644,B,9.0,1.17,"TRPA, 634002SAX, 2019",A,12.0,"Moderately impaired meadow. Very incised with some channel instability. Meadow vegetation such as grasses, sedges, and rushes are mostly absent from floodplain.   Heavy conifer encroachment makes NDVI measurements difficult. Small infestations of invasive species.",very heavy conifer encroachment since 1940.,"TRPA LIDAR, 2009",D,3.0,99.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,"TRPA, 2022",D,2.10766667,3.0,0,"USFS, 2023",1.0,Bull thistle,B,9.0,,0.0,USFS,,,,Channeled Meadow,test,DRI 2020,,,
3,,"USFS / TRPA 2009, 2019",,,,,4.91902735,Burke Creek meadows - 2,,,NA,,,<Null>,<Null>,,Sagebrush encroachment is occuring into upper part of meadow. Heavy infestation of invasive species.,no conifer encroachment,"TRPA LIDAR, 2009",A,12.0,5.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,<Null>,NA,,,5,"USFS, 2023",1.0,Cheatgrass,B,9.0,TRPA_190,0.0,USFS,private,,,Non-Channeled Meadow,test,DRI 2024,B,,9.0
3,,"USFS / TRPA 2009, 2019",,,,,4.91902735,Burke Creek meadows - 2,,,,,,<Null>,<Null>,,Sagebrush encroachment is occuring into upper part of meadow. Heavy infestation of invasive species.,no conifer encroachment,"TRPA LIDAR, 2009",A,12.0,5.0,"TRPA, 2019",0.0,,0.0,A,12.0,Meadow,"TRPA LIDAR, 2009",0.0,0.0,A,12.0,"TRPA, 2022",A,12.0,<Null>,,,,5,"USFS, 2023",1.0,Cheatgrass,B,9.0,TRPA_190,0.0,USFS,private,,,Non-Channeled Meadow,test,DRI 2024,B,,9.0
