Assessment_Unit_Name,Final_Total_Points,Final_Points_Possible,SEZ_ID,SEZ_Type,Final_Percent,Final_Rating,Year
Angora Creek - tributary,60.0,72,265.0,Channeled Meadow,0.8333333333333334,B,2024
Angora meadows - 1,51.0,60,403.0,Channeled Meadow,0.85,B,2024
Angora meadows - 2,57.0,60,405.0,Non-Channeled Meadow,0.95,A,2024
Angora meadows - 3,45.0,60,406.0,Non-Channeled Meadow,0.75,C,2024
Angora meadows - 6,42.0,48,424.0,Non-Channeled Meadow,0.875,B,2024
Angora meadows - 8,51.0,72,404.0,Non-Channeled Meadow,0.7083333333333334,C,2024
Antone meadows,60.0,60,366.0,Channeled Meadow,1.0,A,2024
Baldwin marsh - 1,39.0,48,426.0,Channeled Meadow,0.8125,B,2024
Benwood meadows - 1,36.0,60,420.0,Non-Channeled Meadow,0.6,D,2024
Benwood meadows - 2,51.0,60,422.0,Channeled Meadow,0.85,B,2024
Big Meadow - 1,54.0,72,393.0,Non-Channeled Meadow,0.75,C,2024
Big Meadow - 4,48.0,48,389.0,Non-Channeled Meadow,1.0,A,2024
Big Meadow Creek - lower,48.0,60,267.0,Non-Channeled Meadow,0.8,B,2024
Big Meadow Creek - upper 2,54.0,60,268.0,Channeled Meadow,0.9,A,2024
Blackwood Creek - Upper 1,54.0,60,481.0,Channeled Meadow,0.9,A,2024
Blackwood Creek - Upper 2,57.0,60,272.0,Non-Channeled Meadow,0.95,A,2024
Blackwood Creek - lower 2,45.0,48,470.0,Channeled Meadow,0.9375,A,2024
Blackwood Creek - middle 1,45.0,48,479.0,Channeled Meadow,0.9375,A,2024
Blackwood Creek - middle 2,57.0,60,524.0,Channeled Meadow,0.95,A,2024
Blackwood Creek - middle 3,45.0,48,471.0,Channeled Meadow,0.9375,A,2024
Blackwood Creek - middle 4,48.0,60,271.0,Non-Channeled Meadow,0.8,B,2024
Blackwood Creek - upper 3,51.0,60,273.0,Channeled Meadow,0.85,B,2024
Buck Lake meadows,51.0,60,429.0,Non-Channeled Meadow,0.85,B,2024
Burke Creek - middle,51.0,60,274.0,Non-Channeled Meadow,0.85,B,2024
Burke Creek - upper,45.0,60,249.0,Non-Channeled Meadow,0.75,C,2024
Burke Creek meadows - 1,51.0,72,428.0,Channeled Meadow,0.7083333333333334,C,2024
Burke Creek tributary,18.0,24,461.0,Channeled Meadow,0.75,C,2024
Burton Creek - lower,48.0,60,634.0,Non-Channeled Meadow,0.8,B,2024
Burton Creek - upper,45.0,60,275.0,Non-Channeled Meadow,0.75,C,2024
Carnelian Canyon Creek - lower,21.0,48,620.0,Channeled Meadow,0.4375,D,2024
Carnelian Canyon Creek - upper,48.0,48,621.0,Channeled Meadow,1.0,A,2024
Cascade Creek - lower,42.0,60,247.0,Non-Channeled Meadow,0.7,C,2024
Christmas Valley meadows - 1,42.0,48,359.0,Channeled Meadow,0.875,B,2024
Christmas Valley meadows - 2,54.0,60,358.0,Channeled Meadow,0.9,A,2024
Christmas Valley meadows - 3,51.0,60,421.0,Channeled Meadow,0.85,B,2024
Cold Creek - Highland Woods,30.0,36,413.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Cold Creek - middle,54.0,60,276.0,Non-Channeled Meadow,0.9,A,2024
Cold Creek - tributary 1,45.0,48,532.0,Channeled Meadow,0.9375,A,2024
Cold Creek - tributary 3,45.0,48,277.0,Non-Channeled Meadow,0.9375,A,2024
Deer Creek - headwaters,39.0,48,280.0,Channeled Meadow,0.8125,B,2024
Deer Creek - lower,39.0,60,282.0,Channeled Meadow,0.65,D,2024
Deer Creek - middle,30.0,48,283.0,Channeled Meadow,0.625,D,2024
Deer Creek - middle 2,24.0,48,284.0,Non-Channeled Meadow,0.5,D,2024
Deer Creek - upper,33.0,60,281.0,Channeled Meadow,0.55,D,2024
Dollar Creek - lower,36.0,48,285.0,Non-Channeled Meadow,0.75,C,2024
Echo Creek - below lake,42.0,48,286.0,Channeled Meadow,0.875,B,2024
Edgewood Creek - middle,51.0,60,287.0,Non-Channeled Meadow,0.85,B,2024
Edgewood Creek tributary - 2 - headwaters,21.0,24,462.0,Non-Channeled Meadow,0.875,B,2024
Edgewood Creek tributary - 2 - lower,24.0,36,476.0,Non-Channeled Meadow,0.6666666666666666,D,2024
Edgewood Creek tributary - 2 - upper,21.0,36,635.0,Non-Channeled Meadow,0.5833333333333334,D,2024
Edgewood Creek tributary - 3 - lower,18.0,48,628.0,Non-Channeled Meadow,0.375,D,2024
Edgewood Creek tributary - 3 - upper,21.0,36,629.0,Non-Channeled Meadow,0.5833333333333334,D,2024
General Creek - lower,42.0,60,289.0,Non-Channeled Meadow,0.7,C,2024
General Creek - middle,51.0,60,252.0,Channeled Meadow,0.85,B,2024
Ginny Lake Meadows,48.0,48,374.0,Non-Channeled Meadow,1.0,A,2024
Glen Alpine Creek - lower,42.0,60,546.0,Non-Channeled Meadow,0.7,C,2024
Glenbrook Creek - middle,33.0,48,256.0,Non-Channeled Meadow,0.6875,D,2024
Glenbrook meadows - 1,57.0,60,430.0,Channeled Meadow,0.95,A,2024
Griff Creek - lower,42.0,60,260.0,Channeled Meadow,0.7,C,2024
Griff Creek meadows,39.0,48,387.0,Non-Channeled Meadow,0.8125,B,2024
Heavenly Valley Creek - middle,45.0,60,295.0,Non-Channeled Meadow,0.75,C,2024
Heavenly Valley Creek meadows - 1,27.0,60,414.0,Non-Channeled Meadow,0.45,D,2024
Heavenly Valley Creek meadows - 2,48.0,72,415.0,Non-Channeled Meadow,0.6666666666666666,D,2024
Heavenly Valley Creek meadows - 3,57.0,72,416.0,Non-Channeled Meadow,0.7916666666666666,A,2024
Heavenly Valley Creek meadows - 4,48.0,60,417.0,Non-Channeled Meadow,0.8,B,2024
Hell Hole Meadows - 2,39.0,48,371.0,Non-Channeled Meadow,0.8125,B,2024
Hell Hole meadows - 1,42.0,48,444.0,Channeled Meadow,0.875,B,2024
Hidden Valley Creek - lower,45.0,48,296.0,Non-Channeled Meadow,0.9375,A,2024
High meadows - 1,57.0,60,439.0,Channeled Meadow,0.95,A,2024
High meadows - 2,48.0,60,436.0,Non-Channeled Meadow,0.8,B,2024
High meadows - 4,60.0,60,438.0,Non-Channeled Meadow,1.0,A,2024
High meadows - 6,39.0,48,437.0,Non-Channeled Meadow,0.8125,B,2024
Homewood Canyon Creek - lower,30.0,60,480.0,Non-Channeled Meadow,0.5,D,2024
Incline Creek - lower,54.0,60,298.0,Non-Channeled Meadow,0.9,A,2024
Incline Creek - middle 1,36.0,48,299.0,Non-Channeled Meadow,0.75,C,2024
Incline Creek - middle 2,33.0,48,300.0,Channeled Meadow,0.6875,D,2024
Incline Creek - ski run,27.0,48,301.0,Non-Channeled Meadow,0.5625,D,2024
Incline Creek - upper,57.0,60,302.0,Channeled Meadow,0.95,A,2024
Incline Lake meadows - 2,51.0,60,434.0,Channeled Meadow,0.85,B,2024
Incline Village tributary - 2,18.0,24,459.0,Channeled Meadow,0.75,C,2024
Incline Village tributary - 3,21.0,36,460.0,Non-Channeled Meadow,0.5833333333333334,D,2024
Incline Village tributary - 4,18.0,24,457.0,Channeled Meadow,0.75,C,2024
Kahle meadows - 3,24.0,60,472.0,Non-Channeled Meadow,0.4,D,2024
Kahle meadows - 5,36.0,36,418.0,Channeled Meadow,1.0,A,2024
Kahle meadows - 6,39.0,48,474.0,Channeled Meadow,0.8125,B,2024
Lake Forest meadows - 3,45.0,48,432.0,Non-Channeled Meadow,0.9375,A,2024
Lake Forest meadows - 4,33.0,48,638.0,Channeled Meadow,0.6875,D,2024
Lake Forest tributary,18.0,24,624.0,Non-Channeled Meadow,0.75,C,2024
Logan House Creek - lower,24.0,48,303.0,Non-Channeled Meadow,0.5,D,2024
Logan House Creek - upper,48.0,60,253.0,Non-Channeled Meadow,0.8,B,2024
Lonely Gulch Creek - lower,24.0,60,304.0,Non-Channeled Meadow,0.4,D,2024
Lonely Gulch Creek - middle,30.0,48,305.0,Non-Channeled Meadow,0.625,D,2024
Lonely Gulch Creek - upper,45.0,48,250.0,Non-Channeled Meadow,0.9375,A,2024
Marlette Creek - upper,30.0,48,630.0,Non-Channeled Meadow,0.625,D,2024
McKinney Creek - lower,45.0,60,310.0,Non-Channeled Meadow,0.75,C,2024
McKinney Creek - upper,36.0,48,251.0,Non-Channeled Meadow,0.75,C,2024
McKinney tributary - 1,18.0,24,626.0,Channeled Meadow,0.75,C,2024
McKinney tributary - 2,18.0,24,453.0,Channeled Meadow,0.75,C,2024
Meeks Bay meadows - 1,36.0,36,441.0,Channeled Meadow,1.0,A,2024
Meeks Bay meadows - 2,39.0,48,440.0,Channeled Meadow,0.8125,B,2024
Meiss meadows - 1,51.0,72,357.0,Channeled Meadow,0.7083333333333334,C,2024
Meiss meadows - 3,48.0,72,419.0,Non-Channeled Meadow,0.6666666666666666,D,2024
Meiss meadows - 4,42.0,60,442.0,Non-Channeled Meadow,0.7,C,2024
Meiss meadows - 5,42.0,48,443.0,Channeled Meadow,0.875,B,2024
Meyers tributary - 2,21.0,36,467.0,Channeled Meadow,0.5833333333333334,D,2024
Mill Creek - lower,21.0,48,312.0,Channeled Meadow,0.4375,D,2024
Mill Creek - upper,33.0,36,261.0,Channeled Meadow,0.9166666666666666,A,2024
North Zephyr Creek - lower,33.0,60,314.0,Channeled Meadow,0.55,D,2024
North Zephyr Creek - middle,45.0,72,475.0,Non-Channeled Meadow,0.625,D,2024
North Zephyr Creek - tributary,54.0,72,313.0,Non-Channeled Meadow,0.75,C,2024
Osgood Creek - above road,54.0,60,316.0,Non-Channeled Meadow,0.9,A,2024
Osgood Creek - below road,45.0,60,317.0,Non-Channeled Meadow,0.75,C,2024
Quail Creek - lower,30.0,60,318.0,Channeled Meadow,0.5,D,2024
Rosewood Creek - lower,39.0,48,320.0,Non-Channeled Meadow,0.8125,B,2024
Rosewood Creek - middle 1,51.0,60,321.0,Non-Channeled Meadow,0.85,B,2024
